date,open,min,max,close
8/8/12,1.238485,1.2327,1.240245,1.2372
8/9/12,1.23721,1.22671,1.23873,1.229295
8/10/12,1.2293,1.22417,1.23168,1.228975
8/12/12,1.229075,1.22747,1.22921,1.22747
8/13/12,1.227505,1.22608,1.23737,1.23262
8/14/12,1.23262,1.23167,1.238555,1.232385
8/15/12,1.232385,1.22641,1.234355,1.228865
8/16/12,1.22887,1.225625,1.237305,1.23573
8/17/12,1.23574,1.22891,1.23824,1.2333
8/19/12,1.23522,1.23291,1.235275,1.23323
8/20/12,1.233215,1.22954,1.236885,1.2351
8/21/12,1.23513,1.23465,1.248785,1.247655
8/22/12,1.247655,1.24315,1.254415,1.25338
8/23/12,1.25339,1.252465,1.258965,1.255995
8/24/12,1.255995,1.248175,1.256665,1.2512
8/26/12,1.25133,1.25042,1.252415,1.25054
8/27/12,1.25058,1.249025,1.25356,1.25012
8/28/12,1.250115,1.24656,1.257695,1.2571
8/29/12,1.25709,1.251895,1.25736,1.253065
8/30/12,1.253075,1.248785,1.25639,1.25097
8/31/12,1.25096,1.249375,1.263785,1.25795
9/2/12,1.257195,1.256845,1.258705,1.257355
9/3/12,1.25734,1.25604,1.261095,1.258635
9/4/12,1.25865,1.25264,1.262795,1.25339
9/5/12,1.2534,1.250195,1.26245,1.26005
9/6/12,1.26006,1.256165,1.26513,1.26309
9/7/12,1.26309,1.262655,1.281765,1.281625
9/9/12,1.28096,1.27915,1.281295,1.279565
9/10/12,1.27957,1.27552,1.28036,1.27617
9/11/12,1.27617,1.2759,1.28712,1.28515
9/12/12,1.28516,1.281625,1.29368,1.290235